v_gal,v_out,lognh,x,y
0,100.0,20.0625,-962.987483327,0.0
0,100.0,20.0625,-936.076898816,0.0
0,100.0,20.0625,-909.171126292,0.0
0,100.0,20.0625,-882.270164462,0.0
0,100.0,20.0625,-855.374012038,0.0
0,100.0,20.0625,-828.482667729,0.0
0,100.0,20.0625,-801.596130246,0.0
0,100.0,20.0625,-774.714398301,0.0
0,100.0,20.0625,-747.837470606,0.0
0,100.0,20.0625,-720.965345872,0.0
0,100.0,20.0625,-694.098022812,0.0
0,100.0,20.0625,-667.235500139,0.0
0,100.0,20.0625,-640.377776568,0.0
0,100.0,20.0625,-613.524850812,0.0
0,100.0,20.0625,-586.676721585,0.0
0,100.0,20.0625,-559.833387602,0.0
0,100.0,20.0625,-532.99484758,0.0
0,100.0,20.0625,-506.161100233,0.0
0,100.0,20.0625,-479.332144278,0.0
0,100.0,20.0625,-452.507978432,0.0
0,100.0,20.0625,-425.688601413,0.0
0,100.0,20.0625,-398.874011937,0.0
0,100.0,20.0625,-372.064208724,0.0
0,100.0,20.0625,-345.259190491,0.0
0,100.0,20.0625,-318.458955957,0.0
0,100.0,20.0625,-291.663503844,0.0
0,100.0,20.0625,-264.872832869,0.0
0,100.0,20.0625,-238.086941754,0.0
0,100.0,20.0625,-211.30582922,0.0
0,100.0,20.0625,-184.529493988,0.0
0,100.0,20.0625,-157.75793478,0.0
0,100.0,20.0625,-130.991150319,0.0
0,100.0,20.0625,-104.229139326,0.0
0,100.0,20.0625,-77.4719005248,335.410862597
0,100.0,20.0625,-50.7194326398,8386.92525049
0,100.0,20.0625,-23.9717343946,3621.63635568
0,100.0,20.0625,2.77119548608,3791.121052
0,100.0,20.0625,29.5093582773,5364.43393506
0,100.0,20.0625,56.2427552537,2756.18050932
0,100.0,20.0625,82.9713876892,2216.12801864
0,100.0,20.0625,109.695256857,1005.44726129
0,100.0,20.0625,136.414364032,409.489598437
0,100.0,20.0625,163.128710485,181.751852683
0,100.0,20.0625,189.838297488,0.0
0,100.0,20.0625,216.543126315,132.955602041
0,100.0,20.0625,243.243198235,455.961167717
0,100.0,20.0625,269.938514521,522.971667784
0,100.0,20.0625,296.629076442,922.738407845
0,100.0,20.0625,323.314885269,1028.97214019
0,100.0,20.0625,349.99594227,949.022088651
0,100.0,20.0625,376.672248715,1726.81606676
0,100.0,20.0625,403.343805874,1471.27355122
0,100.0,20.0625,430.010615013,1832.3093087
0,100.0,20.0625,456.6726774,1458.5435172
0,100.0,20.0625,483.329994304,1502.80125917
0,100.0,20.0625,509.98256699,1086.07474223
0,100.0,20.0625,536.630396726,505.450144346
0,100.0,20.0625,563.273484776,308.882619
0,100.0,20.0625,589.911832407,567.140673678
0,100.0,20.0625,616.545440884,335.579075288
0,100.0,20.0625,643.174311471,156.278076724
0,100.0,20.0625,669.798445432,102.651284259
0,100.0,20.0625,696.417844031,6.29299138919
0,100.0,20.0625,723.032508531,44.4586817681
0,100.0,20.0625,749.642440196,0.0
0,100.0,20.0625,776.247640286,0.0
0,100.0,20.0625,802.848110065,0.0517139609947
0,100.0,20.0625,829.443850794,0.0
0,100.0,20.0625,856.034863733,0.0
0,100.0,20.0625,882.621150143,0.0
0,100.0,20.0625,909.202711285,0.0
0,100.0,20.0625,935.779548418,0.0
0,100.0,20.0625,962.3516628,0.0
0,100.0,20.0625,988.919055692,0.0
0,100.0,20.0625,1015.48172835,0.0
0,100.0,20.0625,1042.03968203,0.0
0,100.0,20.0625,1068.592918,0.0
0,100.0,20.0625,1095.14143751,0.0
0,100.0,20.0625,1121.68524181,0.0
0,100.0,20.0625,1148.22433216,0.0
0,100.0,20.0625,1174.75870982,0.0
0,100.0,20.0625,1201.28837605,0.0
0,100.0,20.0625,1227.81333209,0.0
0,100.0,20.0625,1254.3335792,0.0
0,100.0,20.0625,1280.84911864,0.0
0,100.0,20.0625,1307.35995166,0.0
0,100.0,20.0625,1333.86607951,0.0
0,100.0,20.0625,1360.36750344,0.0
0,100.0,20.0625,1386.86422471,0.0
0,100.0,20.0625,1413.35624457,0.0
0,100.0,20.0625,1439.84356427,0.0
0,100.0,20.0625,1466.32618506,0.0
0,100.0,20.0625,1492.80410819,0.0
0,100.0,20.0625,1519.2773349,0.0
0,100.0,20.0625,1545.74586646,0.0
0,100.0,20.0625,1572.20970411,0.0
0,100.0,20.0625,1598.66884909,0.0
0,100.0,20.0625,1625.12330266,0.0
0,100.0,20.0625,1651.57306606,0.0
0,100.0,20.0625,1678.01814055,0.0
0,200.0,20.0625,-962.939263789,0.0
0,200.0,20.0625,-934.120028688,0.0
0,200.0,20.0625,-905.306312331,0.0
0,200.0,20.0625,-876.498113133,0.0
0,200.0,20.0625,-847.69542951,0.0
0,200.0,20.0625,-818.898259879,0.0
0,200.0,20.0625,-790.106602655,0.0
0,200.0,20.0625,-761.320456257,0.0
0,200.0,20.0625,-732.539819102,0.0
0,200.0,20.0625,-703.764689609,0.0
0,200.0,20.0625,-674.995066196,0.0
0,200.0,20.0625,-646.230947285,0.0
0,200.0,20.0625,-617.472331294,0.0
0,200.0,20.0625,-588.719216646,0.0
0,200.0,20.0625,-559.971601761,0.0
0,200.0,20.0625,-531.229485063,0.0
0,200.0,20.0625,-502.492864973,0.0
0,200.0,20.0625,-473.761739915,0.0
0,200.0,20.0625,-445.036108313,0.0
0,200.0,20.0625,-416.315968592,0.0
0,200.0,20.0625,-387.601319177,0.0
0,200.0,20.0625,-358.892158494,0.0
0,200.0,20.0625,-330.188484969,0.0
0,200.0,20.0625,-301.490297029,0.0
0,200.0,20.0625,-272.797593102,0.0
0,200.0,20.0625,-244.110371616,0.0
0,200.0,20.0625,-215.428631,0.0
0,200.0,20.0625,-186.752369683,0.0
0,200.0,20.0625,-158.081586095,0.0
0,200.0,20.0625,-129.416278668,0.0
0,200.0,20.0625,-100.756445831,0.128192558164
0,200.0,20.0625,-72.1020860175,318.430437602
0,200.0,20.0625,-43.4531976591,1245.6328875
0,200.0,20.0625,-14.8097791893,870.242953186
0,200.0,20.0625,13.8281709587,1254.8774635
0,200.0,20.0625,42.4606543504,588.555864736
0,200.0,20.0625,71.0876725511,304.96162951
0,200.0,20.0625,99.7092271254,191.809886994
0,200.0,20.0625,128.325319637,553.405367691
0,200.0,20.0625,156.93595165,528.325854764
0,200.0,20.0625,185.541124727,732.637541741
0,200.0,20.0625,214.14084043,828.6806453
0,200.0,20.0625,242.73510032,605.475325303
0,200.0,20.0625,271.323905959,903.416800716
0,200.0,20.0625,299.907258907,1796.00295096
0,200.0,20.0625,328.485160723,1992.70573917
0,200.0,20.0625,357.057612968,2715.1622774
0,200.0,20.0625,385.6246172,2891.09561991
0,200.0,20.0625,414.186174976,2247.51262343
0,200.0,20.0625,442.742287855,2180.87596666
0,200.0,20.0625,471.292957392,3005.42957818
0,200.0,20.0625,499.838185145,2416.90276082
0,200.0,20.0625,528.377972669,1559.09275996
0,200.0,20.0625,556.912321519,1250.17352397
0,200.0,20.0625,585.44123325,947.746203858
0,200.0,20.0625,613.964709415,1013.69710328
0,200.0,20.0625,642.482751567,666.161965853
0,200.0,20.0625,670.995361261,376.264897481
0,200.0,20.0625,699.502540046,171.203503606
0,200.0,20.0625,728.004289476,283.005462046
0,200.0,20.0625,756.500611101,247.639452436
0,200.0,20.0625,784.991506471,163.193820065
0,200.0,20.0625,813.476977136,244.37487021
0,200.0,20.0625,841.957024645,188.963177494
0,200.0,20.0625,870.431650547,89.068061016
0,200.0,20.0625,898.90085639,101.630115469
0,200.0,20.0625,927.364643721,0.0
0,200.0,20.0625,955.823014088,4.46010144558
0,200.0,20.0625,984.275969035,41.3041612893
0,200.0,20.0625,1012.72351011,0.052691441153
0,200.0,20.0625,1041.16563885,0.0
0,200.0,20.0625,1069.60235682,86.9835031547
0,200.0,20.0625,1098.03366554,0.0
0,200.0,20.0625,1126.45956657,0.0
0,200.0,20.0625,1154.88006144,0.0
0,200.0,20.0625,1183.2951517,0.0
0,200.0,20.0625,1211.70483889,0.0
0,200.0,20.0625,1240.10912455,0.0
0,200.0,20.0625,1268.50801022,0.0
0,200.0,20.0625,1296.90149744,0.0
0,200.0,20.0625,1325.28958775,0.0
0,200.0,20.0625,1353.6722827,0.0
0,200.0,20.0625,1382.0495838,0.0
0,200.0,20.0625,1410.42149261,0.0
0,200.0,20.0625,1438.78801067,0.0
0,200.0,20.0625,1467.1491395,0.0
0,200.0,20.0625,1495.50488064,0.0
0,200.0,20.0625,1523.85523563,0.0
0,200.0,20.0625,1552.200206,0.0
0,200.0,20.0625,1580.53979329,0.0
0,200.0,20.0625,1608.87399902,0.0
0,200.0,20.0625,1637.20282474,0.0
0,200.0,20.0625,1665.52627198,0.0
0,200.0,20.0625,1693.84434226,0.0
0,200.0,20.0625,1722.15703712,0.0
0,200.0,20.0625,1750.46435808,0.0
0,200.0,20.0625,1778.76630668,0.0
0,200.0,20.0625,1807.06288445,0.0
0,200.0,20.0625,1835.35409291,0.0
0,200.0,20.0625,1863.6399336,0.0
0,300.0,20.0625,-962.899766892,0.0
0,300.0,20.0625,-932.592748926,0.0
0,300.0,20.0625,-902.29183419,0.0
0,300.0,20.0625,-871.997020841,0.0
0,300.0,20.0625,-841.708307034,0.0
0,300.0,20.0625,-811.42569093,0.0
0,300.0,20.0625,-781.149170686,0.0
0,300.0,20.0625,-750.878744462,0.0
0,300.0,20.0625,-720.614410419,0.0
0,300.0,20.0625,-690.356166716,0.0
0,300.0,20.0625,-660.104011517,0.0
0,300.0,20.0625,-629.857942984,0.0
0,300.0,20.0625,-599.617959279,0.0
0,300.0,20.0625,-569.384058567,0.0
0,300.0,20.0625,-539.156239013,0.0
0,300.0,20.0625,-508.934498782,0.0
0,300.0,20.0625,-478.71883604,0.0
0,300.0,20.0625,-448.509248954,0.0
0,300.0,20.0625,-418.305735692,0.0
0,300.0,20.0625,-388.108294423,0.0
0,300.0,20.0625,-357.916923314,0.0
0,300.0,20.0625,-327.731620538,0.0
0,300.0,20.0625,-297.552384263,0.0
0,300.0,20.0625,-267.379212661,0.0
0,300.0,20.0625,-237.212103905,0.0
0,300.0,20.0625,-207.051056167,0.0
0,300.0,20.0625,-176.896067621,0.0
0,300.0,20.0625,-146.747136441,0.0
0,300.0,20.0625,-116.604260802,82.036672944
0,300.0,20.0625,-86.46743888,0.0
0,300.0,20.0625,-56.3366688512,3.20410810809
0,300.0,20.0625,-26.2119488931,91.5770150104
0,300.0,20.0625,3.90672281645,77.4967094939
0,300.0,20.0625,34.0193480988,160.182873659
0,300.0,20.0625,64.1259287744,239.558661772
0,300.0,20.0625,94.2264666632,782.101280783
0,300.0,20.0625,124.320963584,434.944888038
0,300.0,20.0625,154.409421356,338.365332513
0,300.0,20.0625,184.491841796,590.976110705
0,300.0,20.0625,214.568226722,402.15568704
0,300.0,20.0625,244.638577949,479.742249008
0,300.0,20.0625,274.702897293,756.409004613
0,300.0,20.0625,304.761186568,486.342101493
0,300.0,20.0625,334.81344759,963.038005587
0,300.0,20.0625,364.85968217,1593.54530098
0,300.0,20.0625,394.899892122,1560.57206015
0,300.0,20.0625,424.934079257,2124.5809028
0,300.0,20.0625,454.962245387,4450.66963011
0,300.0,20.0625,484.984392321,4057.77458311
0,300.0,20.0625,515.00052187,4027.47096494
0,300.0,20.0625,545.010635843,4097.12696438
0,300.0,20.0625,575.014736047,3886.78835884
0,300.0,20.0625,605.012824291,2282.38128804
0,300.0,20.0625,635.00490238,1860.28280622
0,300.0,20.0625,664.990972121,933.641334799
0,300.0,20.0625,694.97103532,912.766841553
0,300.0,20.0625,724.94509378,734.826883023
0,300.0,20.0625,754.913149306,452.60198521
0,300.0,20.0625,784.875203701,546.67914963
0,300.0,20.0625,814.831258767,532.037255539
0,300.0,20.0625,844.781316306,185.24265342
0,300.0,20.0625,874.725378119,285.776981655
0,300.0,20.0625,904.663446006,110.342595159
0,300.0,20.0625,934.595521766,178.571571438
0,300.0,20.0625,964.5216072,206.266257434
0,300.0,20.0625,994.441704103,0.0
0,300.0,20.0625,1024.35581428,379.501974479
0,300.0,20.0625,1054.26393951,257.123560935
0,300.0,20.0625,1084.16608161,0.0
0,300.0,20.0625,1114.06224236,0.0294728169465
0,300.0,20.0625,1143.95242356,0.0
0,300.0,20.0625,1173.83662701,0.0
0,300.0,20.0625,1203.7148545,0.0
0,300.0,20.0625,1233.58710781,0.0
0,300.0,20.0625,1263.45338874,0.0
0,300.0,20.0625,1293.31369909,0.0
0,300.0,20.0625,1323.16804064,0.0
0,300.0,20.0625,1353.01641518,0.0
0,300.0,20.0625,1382.8588245,0.0
0,300.0,20.0625,1412.69527039,0.0
0,300.0,20.0625,1442.52575464,0.0
0,300.0,20.0625,1472.35027903,0.0
0,300.0,20.0625,1502.16884534,0.0
0,300.0,20.0625,1531.98145537,0.0
0,300.0,20.0625,1561.7881109,0.0
0,300.0,20.0625,1591.58881371,0.0
